evento,serie,serie_id,rho,p,q,n,media_en_ventana,media_fuera
Guerra de Ucrania,topic,14,0.105214,0.346836,0.656069,82,0.023342,0.016658
Elecciones generales 20-D,topic,15,0.171241,0.123991,0.611809,82,0.04572,0.019427
Elecciones generales 26-J,topic,15,0.046134,0.680658,0.877789,82,0.031207,0.020027
Moción de censura,topic,15,0.189206,0.088673,0.611809,82,0.052279,0.018217
Elecciones generales 28-A,topic,15,-0.017499,0.876001,0.96832,82,0.035307,0.019961
Elecciones generales 10-N,topic,15,-0.081246,0.468072,0.740649,82,0.021127,0.020688
Investidura de 2020,topic,15,-0.124899,0.263555,0.615336,82,0.016901,0.020956
COVID-19: estado de alarma,topic,15,-0.195606,0.078213,0.611809,82,0.012072,0.021515
Guerra de Ucrania,topic,15,0.031017,0.782065,0.908666,82,0.015101,0.021152
Elecciones generales 20-D,topic,16,0.059029,0.598345,0.816239,82,0.034424,0.023153
Elecciones generales 26-J,topic,16,0.177852,0.109917,0.611809,82,0.074174,0.020426
Moción de censura,topic,16,0.131534,0.238825,0.615336,82,0.021645,0.023865
Elecciones generales 28-A,topic,16,-0.031321,0.779983,0.908666,82,0.036684,0.023037
Elecciones generales 10-N,topic,16,0.107216,0.337689,0.656069,82,0.046312,0.022543
Investidura de 2020,topic,16,-0.011929,0.91529,0.974464,82,0.033824,0.023046
COVID-19: estado de alarma,topic,16,-0.028789,0.797374,0.915719,82,0.027056,0.02339
Guerra de Ucrania,topic,16,-0.18335,0.099183,0.611809,82,0.007496,0.024982
Elecciones generales 20-D,topic,17,0.225284,0.041855,0.611809,82,0.045733,0.018053
Elecciones generales 26-J,topic,17,-0.188781,0.089404,0.611809,82,0.009331,0.020057
Moción de censura,topic,17,0.089209,0.425442,0.709572,82,0.02189,0.019207
Elecciones generales 28-A,topic,17,-0.194128,0.080536,0.611809,82,0.006691,0.020055
Elecciones generales 10-N,topic,17,0.081486,0.466755,0.740649,82,0.02309,0.019214
Investidura de 2020,topic,17,-0.046386,0.679007,0.877789,82,0.017053,0.019556
COVID-19: estado de alarma,topic,17,-0.021247,0.849726,0.954437,82,0.017648,0.019567
Guerra de Ucrania,topic,17,0.196261,0.077201,0.611809,82,0.034525,0.018209
Elecciones generales 20-D,topic,18,0.011084,0.921271,0.974464,82,0.003066,0.016452
Elecciones generales 26-J,topic,18,-0.18709,0.092364,0.611809,82,0.0,0.016825
Moción de censura,topic,18,-0.12492,0.263472,0.615336,82,0.001852,0.016901
Elecciones generales 28-A,topic,18,-0.166262,0.135472,0.611809,82,0.0,0.01661
Elecciones generales 10-N,topic,18,-0.166262,0.135472,0.611809,82,0.0,0.01661
Investidura de 2020,topic,18,0.074836,0.504004,0.765952,82,0.04085,0.014173
