evento,serie,serie_id,rho,p,q,n,media_en_ventana,media_fuera
Investidura de 2020,topic,43,0.014252,0.898873,0.973195,82,0.00637,0.006888
COVID-19: estado de alarma,topic,43,-0.01596,0.88683,0.973195,82,0.005655,0.006969
Guerra de Ucrania,topic,43,-0.082604,0.460642,0.740649,82,0.004303,0.007058
Elecciones generales 20-D,topic,44,-0.138887,0.213349,0.611809,82,0.0,0.004966
Elecciones generales 26-J,topic,44,-0.156285,0.160876,0.611809,82,0.0,0.005031
Moción de censura,topic,44,0.119878,0.283383,0.623162,82,0.009797,0.004324
Elecciones generales 28-A,topic,44,-0.138887,0.213349,0.611809,82,0.0,0.004966
Elecciones generales 10-N,topic,44,0.0,1.0,1.0,82,0.006944,0.00461
Investidura de 2020,topic,44,-0.031257,0.780423,0.908666,82,0.005556,0.00467
COVID-19: estado de alarma,topic,44,0.010474,0.925591,0.974464,82,0.004521,0.004743
Guerra de Ucrania,topic,44,0.082416,0.461666,0.740649,82,0.001235,0.004999
Elecciones generales 20-D,topic,45,-0.130964,0.240883,0.615336,82,0.0,0.005542
Elecciones generales 26-J,topic,45,-0.14737,0.186424,0.611809,82,0.0,0.005614
Moción de censura,topic,45,0.373995,0.000538,0.253847,82,0.016086,0.004418
Elecciones generales 28-A,topic,45,-0.130964,0.240883,0.615336,82,0.0,0.005542
Elecciones generales 10-N,topic,45,-0.130964,0.240883,0.615336,82,0.0,0.005542
Investidura de 2020,topic,45,-0.14737,0.186424,0.611809,82,0.0,0.005614
COVID-19: estado de alarma,topic,45,-0.17668,0.112317,0.611809,82,0.0,0.005764
Guerra de Ucrania,topic,45,-0.079957,0.475181,0.745134,82,0.000475,0.005651
Elecciones generales 20-D,topic,46,0.143113,0.199611,0.611809,82,0.017411,0.003718
Elecciones generales 26-J,topic,46,-0.173924,0.118121,0.611809,82,0.0,0.00467
Moción de censura,topic,46,-0.011838,0.915936,0.974464,82,0.002495,0.004535
Elecciones generales 28-A,topic,46,-0.154562,0.165601,0.611809,82,0.0,0.00461
Elecciones generales 10-N,topic,46,-0.057245,0.609464,0.824261,82,0.00098,0.00456
Investidura de 2020,topic,46,-0.173924,0.118121,0.611809,82,0.0,0.00467
COVID-19: estado de alarma,topic,46,-0.135701,0.224142,0.615336,82,0.000553,0.004743
Guerra de Ucrania,topic,46,0.14679,0.188183,0.611809,82,0.004618,0.004367
Elecciones generales 20-D,topic,47,-0.122943,0.271165,0.615336,82,0.0,0.004193
Elecciones generales 26-J,topic,47,-0.138344,0.215162,0.611809,82,0.0,0.004247
Moción de censura,topic,47,-0.048171,0.66737,0.867764,82,0.002584,0.004099
Elecciones generales 28-A,topic,47,-0.122943,0.271165,0.615336,82,0.0,0.004193
Elecciones generales 10-N,topic,47,-0.122943,0.271165,0.615336,82,0.0,0.004193
Investidura de 2020,topic,47,-0.138344,0.215162,0.611809,82,0.0,0.004247
COVID-19: estado de alarma,topic,47,-0.165859,0.136436,0.611809,82,0.0,0.00436
Guerra de Ucrania,topic,47,-0.037466,0.738242,0.898581,82,0.003281,0.004044
Elecciones generales 20-D,topic,48,-0.126968,0.255663,0.615336,82,0.0,0.004681
Elecciones generales 26-J,topic,48,-0.142873,0.200372,0.611809,82,0.0,0.004742
Moción de censura,topic,48,-0.040697,0.716591,0.897859,82,0.002415,0.004614
Elecciones generales 28-A,topic,48,-0.126968,0.255663,0.615336,82,0.0,0.004681
Elecciones generales 10-N,topic,48,0.139665,0.210772,0.611809,82,0.01443,0.003941
Investidura de 2020,topic,48,-0.044291,0.692764,0.886138,82,0.000563,0.004705
COVID-19: estado de alarma,topic,48,0.012235,0.913127,0.974464,82,0.001412,0.004737
Guerra de Ucrania,topic,48,-0.157536,0.157511,0.611809,82,0.0,0.004804
Elecciones generales 20-D,topic,49,-0.110634,0.322423,0.646604,82,0.0,0.006967
Elecciones generales 26-J,topic,49,-0.124493,0.265123,0.615336,82,0.0,0.007057
Moción de censura,topic,49,-0.137269,0.218782,0.611809,82,0.0,0.00715
Elecciones generales 28-A,topic,49,-0.110634,0.322423,0.646604,82,0.0,0.006967
Elecciones generales 10-N,topic,49,-0.110634,0.322423,0.646604,82,0.0,0.006967
Investidura de 2020,topic,49,-0.124493,0.265123,0.615336,82,0.0,0.007057
COVID-19: estado de alarma,topic,49,-0.049307,0.660006,0.864385,82,0.001658,0.007091
Guerra de Ucrania,topic,49,0.094373,0.399036,0.689018,82,0.007106,0.006589
Elecciones generales 20-D,topic,5,-0.009637,0.93152,0.974464,82,0.038954,0.034928
Elecciones generales 26-J,topic,5,-0.032534,0.771693,0.908666,82,0.06364,0.033273
Moción de censura,topic,5,-0.035873,0.749,0.899821,82,0.026177,0.035831
Elecciones generales 28-A,topic,5,-0.077099,0.491158,0.760088,82,0.021843,0.035806
Elecciones generales 10-N,topic,5,-0.151788,0.173418,0.611809,82,0.011516,0.036335
Investidura de 2020,topic,5,-0.100855,0.367289,0.679845,82,0.030578,0.03542
COVID-19: estado de alarma,topic,5,-0.093797,0.401933,0.689018,82,0.027453,0.035841
Guerra de Ucrania,topic,5,-0.103633,0.354174,0.666016,82,0.02169,0.036185
Elecciones generales 20-D,topic,50,-0.037193,0.740083,0.898581,82,0.001033,0.004331
Elecciones generales 26-J,topic,50,-0.160713,0.149197,0.611809,82,0.0,0.004441
Moción de censura,topic,50,-0.177207,0.111233,0.611809,82,0.0,0.0045
Elecciones generales 28-A,topic,50,-0.007439,0.947118,0.976395,82,0.003788,0.00419
Elecciones generales 10-N,topic,50,-0.142822,0.200536,0.611809,82,0.0,0.004384
Investidura de 2020,topic,50,-0.068303,0.542041,0.784796,82,0.000755,0.004392
COVID-19: estado de alarma,topic,50,-0.002294,0.983683,0.993818,82,0.00496,0.004097
Guerra de Ucrania,topic,50,0.280578,0.010672,0.611809,82,0.01603,0.003234
Elecciones generales 20-D,topic,51,-0.106429,0.341266,0.656069,82,0.0,0.006654
Elecciones generales 26-J,topic,51,-0.119761,0.283855,0.623162,82,0.0,0.006741
Moción de censura,topic,51,-0.002934,0.979126,0.993818,82,0.007752,0.006217
Elecciones generales 28-A,topic,51,-0.106429,0.341266,0.656069,82,0.0,0.006654
Elecciones generales 10-N,topic,51,-0.106429,0.341266,0.656069,82,0.0,0.006654
Investidura de 2020,topic,51,-0.119761,0.283855,0.623162,82,0.0,0.006741
COVID-19: estado de alarma,topic,51,-0.14358,0.198131,0.611809,82,0.0,0.00692
Guerra de Ucrania,topic,51,0.211284,0.056721,0.611809,82,0.004925,0.00644
Elecciones generales 20-D,topic,52,-0.110634,0.322423,0.646604,82,0.0,0.00429
Elecciones generales 26-J,topic,52,-0.124493,0.265123,0.615336,82,0.0,0.004346
Moción de censura,topic,52,-0.137269,0.218782,0.611809,82,0.0,0.004403
Elecciones generales 28-A,topic,52,-0.110634,0.322423,0.646604,82,0.0,0.00429
Elecciones generales 10-N,topic,52,-0.110634,0.322423,0.646604,82,0.0,0.00429
Investidura de 2020,topic,52,-0.124493,0.265123,0.615336,82,0.0,0.004346
COVID-19: estado de alarma,topic,52,0.031983,0.775458,0.908666,82,0.001057,0.004363
Guerra de Ucrania,topic,52,-0.00429,0.96949,0.990474,82,0.007123,0.003841
Elecciones generales 20-D,topic,53,-0.015096,0.892918,0.973195,82,0.003099,0.008482
Elecciones generales 26-J,topic,53,0.053001,0.636277,0.843604,82,0.004259,0.008477
Moción de censura,topic,53,-0.172325,0.121594,0.611809,82,0.0,0.008868
Elecciones generales 28-A,topic,53,-0.039251,0.726257,0.897859,82,0.000608,0.00861
Elecciones generales 10-N,topic,53,-0.138887,0.213349,0.611809,82,0.0,0.008641
Investidura de 2020,topic,53,-0.156285,0.160876,0.611809,82,0.0,0.008753
COVID-19: estado de alarma,topic,53,-0.117542,0.292938,0.631356,82,0.000276,0.008961
Guerra de Ucrania,topic,53,-0.172325,0.121594,0.611809,82,0.0,0.008868
Elecciones generales 20-D,topic,54,-0.142822,0.200536,0.611809,82,0.0,0.006488
Elecciones generales 26-J,topic,54,-0.038839,0.729017,0.898422,82,0.005405,0.006221
Moción de censura,topic,54,-0.089834,0.422195,0.707341,82,0.000741,0.0066
Elecciones generales 28-A,topic,54,-0.01339,0.904965,0.974464,82,0.003041,0.006332
Elecciones generales 10-N,topic,54,0.09819,0.380149,0.688027,82,0.005054,0.006229
Investidura de 2020,topic,54,-0.057589,0.607314,0.823713,82,0.00169,0.006462
COVID-19: estado de alarma,topic,54,-0.009175,0.934797,0.974464,82,0.002865,0.00648
Guerra de Ucrania,topic,54,-0.027073,0.809214,0.924816,82,0.000761,0.006598
Elecciones generales 20-D,topic,55,-0.093375,0.404063,0.689018,82,0.0,0.005965
Elecciones generales 26-J,topic,55,-0.105072,0.347494,0.656069,82,0.0,0.006042
Moción de censura,topic,55,0.115855,0.299969,0.643569,82,0.000889,0.006051
Elecciones generales 28-A,topic,55,-0.093375,0.404063,0.689018,82,0.0,0.005965
Elecciones generales 10-N,topic,55,-0.093375,0.404063,0.689018,82,0.0,0.005965
Investidura de 2020,topic,55,-0.105072,0.347494,0.656069,82,0.0,0.006042
COVID-19: estado de alarma,topic,55,-0.125969,0.259453,0.615336,82,0.0,0.006203
Guerra de Ucrania,topic,55,0.014482,0.897253,0.973195,82,0.003359,0.005856
Elecciones generales 20-D,topic,56,0.03762,0.737209,0.898581,82,0.001016,0.003557
Elecciones generales 26-J,topic,56,-0.110065,0.324933,0.647123,82,0.0,0.003656
Moción de censura,topic,56,-0.12136,0.277428,0.623162,82,0.0,0.003704
Elecciones generales 28-A,topic,56,-0.097812,0.381996,0.688027,82,0.0,0.003609
Elecciones generales 10-N,topic,56,0.063954,0.568121,0.805265,82,0.003521,0.003429
Investidura de 2020,topic,56,0.035559,0.751122,0.899821,82,0.002817,0.003473
COVID-19: estado de alarma,topic,56,-0.00725,0.948455,0.976395,82,0.002012,0.003566
Guerra de Ucrania,topic,56,0.143143,0.199515,0.611809,82,0.015786,0.002458
Elecciones generales 20-D,topic,57,0.024833,0.824736,0.933514,82,0.001016,0.002981
Elecciones generales 26-J,topic,57,-0.119761,0.283855,0.623162,82,0.0,0.003073
Moción de censura,topic,57,-0.029345,0.793548,0.913548,82,0.00037,0.003084
Elecciones generales 28-A,topic,57,-0.106429,0.341266,0.656069,82,0.0,0.003033
Elecciones generales 10-N,topic,57,-0.106429,0.341266,0.656069,82,0.0,0.003033
Investidura de 2020,topic,57,-0.119761,0.283855,0.623162,82,0.0,0.003073
COVID-19: estado de alarma,topic,57,-0.14358,0.198131,0.611809,82,0.0,0.003155
Guerra de Ucrania,topic,57,-0.008803,0.937433,0.974464,82,0.00095,0.003038
Elecciones generales 20-D,topic,6,0.029782,0.79054,0.913548,82,0.038072,0.021971
Elecciones generales 26-J,topic,6,-0.13517,0.225975,0.615336,82,0.013043,0.023388
Moción de censura,topic,6,-0.025662,0.818989,0.929237,82,0.024282,0.022636
Elecciones generales 28-A,topic,6,-0.167526,0.132484,0.611809,82,0.00365,0.023737
Elecciones generales 10-N,topic,6,-0.084383,0.451005,0.73405,82,0.009403,0.023442
Investidura de 2020,topic,6,-0.213368,0.054268,0.611809,82,0.002817,0.024052
COVID-19: estado de alarma,topic,6,-0.274554,0.012553,0.611809,82,0.002012,0.024693
Guerra de Ucrania,topic,6,0.012318,0.912543,0.974464,82,0.01829,0.023109
Elecciones generales 20-D,topic,7,-0.026691,0.811861,0.925601,82,0.017547,0.022895
Elecciones generales 26-J,topic,7,-0.081911,0.464424,0.740649,82,0.015042,0.023127
Moción de censura,topic,7,-0.118416,0.289337,0.628659,82,0.013158,0.023382
Elecciones generales 28-A,topic,7,-0.131026,0.240657,0.615336,82,0.009401,0.023313
Elecciones generales 10-N,topic,7,-0.118894,0.287381,0.627981,82,0.010968,0.023232
Investidura de 2020,topic,7,-0.169283,0.128414,0.611809,82,0.008774,0.023534
COVID-19: estado de alarma,topic,7,-0.180505,0.10463,0.611809,82,0.010136,0.023801
Guerra de Ucrania,topic,7,-0.010035,0.9287,0.974464,82,0.022823,0.022619
Elecciones generales 20-D,topic,8,-0.053957,0.630197,0.840262,82,0.012296,0.024096
Elecciones generales 26-J,topic,8,-0.173317,0.119431,0.611809,82,0.007826,0.02454
Moción de censura,topic,8,0.074048,0.508519,0.766841,82,0.019815,0.023813
Elecciones generales 28-A,topic,8,-0.255069,0.02074,0.611809,82,0.0,0.024727
Elecciones generales 10-N,topic,8,-0.126308,0.258163,0.615336,82,0.009859,0.024221
Investidura de 2020,topic,8,-0.130263,0.243431,0.615336,82,0.008642,0.024487
COVID-19: estado de alarma,topic,8,-0.118168,0.290355,0.628659,82,0.010716,0.024716
Guerra de Ucrania,topic,8,-0.14911,0.181221,0.611809,82,0.005923,0.02491
Elecciones generales 20-D,topic,9,-0.068344,0.541798,0.784796,82,0.018578,0.023537
Elecciones generales 26-J,topic,9,-0.198856,0.073292,0.611809,82,0.006957,0.024356
Moción de censura,topic,9,0.213006,0.054688,0.611809,82,0.048359,0.021317
Elecciones generales 28-A,topic,9,-0.201371,0.069657,0.611809,82,0.002433,0.024365
Elecciones generales 10-N,topic,9,-0.002441,0.982636,0.993818,82,0.025573,0.023179
Investidura de 2020,topic,9,-0.170291,0.126122,0.611809,82,0.011831,0.02404
COVID-19: estado de alarma,topic,9,-0.096906,0.386443,0.688242,82,0.015986,0.023978
Guerra de Ucrania,topic,9,-0.091865,0.411737,0.696559,82,0.014217,0.024012
